smiles,hit0,hit1,hit2,hit3,hit4
S1C(=NC=C1N/C(/c2cc(F)ccc2)=C/3\NNCC3)C,d0160a,d0615b,,,
O=C(Nc1nc(ccc1)C2=NNC=C2C)[C@H]3OCCC3,d0160a,d0254a,,,
O=C(Nc1ncc2c(cncc2)c1)[C@H]3OCCC3,d0160a,d0254a,,,
O=C(Nc1ncc2c(O)cncc2c1)[C@H]3OCCC3,d0160a,d0254a,d0612a,,
O=C(Nc1ncc2c(N)cncc2c1)[C@H]3OCCC3,d0160a,d0254a,d0612a,,
O=C(Nc1ncc2c(cnc(N)c2)c1)[C@H]3OCCC3,d0160a,d0254a,d0612a,,
O=C(Nc1ncc2c(cnc(O)c2)c1)[C@H]3OCCC3,d0160a,d0254a,d0612a,,
O=C(Nc1ncc2c(cnc(O)c2)c1)[C@H]3[NH2+]CCC3,d0160a,d0254a,d0612a,,
O=C(Nc1ncc2c(cnc(O)c2)c1)[C@H]3OC[NH2+]C3,d0160a,d0254a,d0612a,,
O=C(Nc1ncc2c(cnc(O)c2)c1)[C@H]3ONCC3,d0160a,d0254a,d0612a,,
O1NCC[C@H]1C(Nc2ncc3c(cnc(O)c3)c2)=C,d0160a,d0254a,d0612a,,
O1NCC[C@H]1C(Nc2ncc3c(cnc(N)c3)c2)=C,d0160a,d0254a,d0612a,,
S1c2c(OC1=O)cc(N)c(OC(=O)N)c2,6izx-a,d0612a,d0160a,,
S1c2c(O[C@@H]1[C@H]3OCCC3)cc(N)c(OC(=O)N)c2,6izx-a,d0612a,d0160a,d0254a,
S1c2c(O[C@@H]1/C=C\3/ONCC3)cc(N)c(OC(=O)N)c2,6izx-a,d0612a,d0160a,d0254a,
S1c2c(O[C@@H]1C[C@H]3ONCC3)cc(N)c(OC(=O)N)c2,6izx-a,d0612a,d0160a,d0254a,
S1c2c(O[C@@H]1/C=C\3/ONCC3)cc(N)c(OC(=O)C=4SC(=NC4)C)c2,6izx-a,d0612a,d0160a,d0254a,d0615b
S1c2c(O[C@@H]1/C=C\3/ONCC3)cc(O)c(OC(=O)C=4SC(=NC4)C)c2,6izx-a,d0612a,d0160a,d0254a,d0615b
S1c2c(O[C@@H]1/C=C\3/ONCC3)cc(O)c(OC(=O)C=4N=C(NC4)C)c2,6izx-a,d0612a,d0160a,d0254a,d0615b
S1C(=CC=C1)[C@H]2C[C@@H](Oc3ccc(OC(=O)C)cc3)[C@H](OC)[C@@H](C([O-])=O)C2,6ld2,6izx-a,,,
S1c2c(ccc(OC(=O)C)c2)C3=C1[C@H](C=4SC=CC4)C[C@H](C([O-])=O)[C@H]3OC,6ld2,6izx-a,,,
S1c2c(ccc(OC(=O)C)c2)[C@@H]3[C@@H]1[C@H](C=4SC=CC4)C[C@H](C([O-])=O)[C@H]3OC,6ld2,6izx-a,,,
S1c2c(O[C@H]3[C@H](OC)[C@@H](C([O-])=O)C[C@@H](C=4SC=CC4)[C@H]13)ccc(OC(=O)C)c2,6ld2,6izx-a,,,
S1c2c(ccc(OC(=O)C)c2)[C@@H]3[C@@H]1[C@H](C=4SC=CC4)C[C@H](C([O-])=O)[C@H]3OC,6ld2,6izx-a,,,
S1C(=CC=C1)[C@H]2[C@H](C[C@H](OC)[C@@H](C([O-])=O)C2)CC[N@H+]3CCN(C(=O)N)CC3,6ld2,d0612a,,,
S1C(=CC=C1)[C@H]2[C@@H](ON3CCN(C(=O)N)CC3)C[C@H](OC)[C@@H](C([O-])=O)C2,6ld2,d0612a,,,
S1C(=CC=C1)[C@H]2[C@@H](OC[N@H+]3CCN(C(=O)N)CC3)C[C@H](OC)[C@@H](C([O-])=O)C2,6ld2,d0612a,,,
S1C(=NC=C1CNc2cc(F)cc(c2)[C@@H]3C[C@H](OC)[C@@H](C([O-])=O)CC3)C,6ld2,d0615b,,,
S1C(=NC=C1CNc2c[n+](cc(F)c2)[C@@H]3C[C@H](OC)[C@@H](C([O-])=O)CC3)C,6ld2,d0615b,,,
S1C(=CC=C1)[C@H]2[C@@H](OCC[N@H+](Cc3cnccc3)C)C[C@H](OC)[C@@H](C([O-])=O)C2,6ld2,d0191a,,,
S1C(=CC=C1)[C@H]2[C@@H](OCC3=CN(C=C3)Cc4cnccc4)C[C@H](OC)[C@@H](C([O-])=O)C2,6ld2,d0191a,,,
[O-]C(=O)[C@@H]1[C@@H](OC)C[C@H]([C@@H]2CC[N@H+](Cc3cnccc3)CC2)CC1,6ld2,d0191a,,,
